country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Australia,8.027,7.331,6.028,7.564,9.863,11.291,11.748,11.35,9.465,7.693,6.088,6.944,9.603,13.203,15.961,18.583,19.13,18.476,15.578,13.741,11.361,9.552,8.576,7.549,6.716,6.312,5.76,5.181,4.922,8.195,10.966
Austria,24.78,26.298,28.329,32.407,34.834,36.935,41.144,44.824,45.76,45.847,45.969,46.651,46.749,50.639,53.452,56.201,57.167,59.241,59.893,62.045,61.188,60.659,60.401,60.882,62.242,62.116,60.434,57.829,59.319,64.916,65.754
Belgium,53.482,63.584,74.319,84.498,89.763,97.256,102.44,106.727,108.069,106.336,106.729,109.298,111.307,118.3,115.502,113.763,112.643,109.891,105.317,103.431,99.542,99.125,97.948,95.395,92.763,91.774,87.568,85.295,90.094,94.893,96.789
Canada,..,26.118,29.599,33.714,36.725,41.01,42.996,43.868,44.668,44.809,46.636,50.75,53.376,56.141,56.479,56.82,56.345,52.684,50.082,46.652,40.863,39.713,38.091,35.853,32.109,30.235,27.934,25.183,28.642,35.716,36.073
Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.22,12.496,13.717,13.642,14.924,15.675,13.001,10.684,7.282,5.264,4.097,5.173,6.228,9.185
Czech Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,14.661,12.52,10.527,9.222,9.56,9.751,10.974,13.216,14.669,16.064,19.137,21.064,23.164,24.904,25.24,27.102,32.496,36.625
Denmark,34.643,44.853,57.653,69.262,71.858,69.939,67.26,64.348,62.677,61.099,62.388,63.286,67.834,79.668,76.52,74.873,72.86,69.055,64.004,60.867,54.809,52.02,51.623,49.608,46.958,39.292,32.715,27.765,32.318,37.891,39.59
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.609,3.336,2.925,3.555,3.141,2.634,2.091,1.836,1.319,1.761,3.55,3.227
Finland,..,..,..,..,..,..,..,..,..,..,10.179,16.675,33.565,51.292,58.546,62.635,66.745,65.016,59.886,55.679,48.017,44.368,41.279,43.544,41.925,38.17,35.561,31.201,29.452,37.549,41.683
France,..,..,..,..,..,..,..,..,..,..,..,..,29.034,33.673,38.381,41.55,44.009,45.598,46.321,47.773,47.417,48.346,49.941,51.88,52.561,53.275,52.131,52.118,53.406,61.231,67.418
Germany,13.027,14.69,16.308,17.373,17.78,18.338,18.362,19.172,19.791,19.203,19.729,19.646,19.38,21.228,20.918,21.068,22.878,24.254,26.055,34.079,38.357,36.452,37.164,38.48,39.862,40.832,41.232,39.55,39.55,44.205,44.403
Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,97.608,103.197,104.806,108.105,105.22,103.746,103.561,108.926,109.684,109.199,105.777,108.624,110.572,107.675,105.674,110.617,127.022,147.839
Hungary,..,..,..,..,..,..,..,..,..,..,..,72.346,76.531,86.657,83.973,82.375,69.336,60.93,58.986,59.16,54.052,50.431,53.532,56.203,55.673,58.103,61.971,61.551,67.668,72.79,73.898
Iceland,22.945,23.781,27.276,29.049,31.079,31.591,28.266,26.062,27.336,31.831,32.009,34.32,40.337,47.984,50.318,52.308,49.736,46.24,40.718,35.316,33.83,39.238,35.26,33.327,28.179,19.378,24.807,23.237,44.175,87.473,81.257
Ireland,..,81.796,87.285,97.147,102.717,104.592,104.352,106.962,102.27,92.403,86.814,84.575,82.588,82.309,78.88,72.175,64.623,57.307,47.797,44.091,34.766,30.892,27.869,26.863,25.343,23.524,20.253,19.834,28.001,47.074,60.703
Israel,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,102.803,103.79,93.18,83.38,87.836,95.349,97.813,96.64,92.102,82.659,75.948,75.307,77.693,74.714
Italy,52.684,55.487,60.123,65.417,70.31,77.204,81.575,85.886,88.379,90.96,92.774,95.219,102.243,109.882,113.666,113.067,113.616,110.951,108.718,106.656,103.576,102.658,99.543,96.699,96.313,97.656,97.454,95.627,98.093,106.778,109.015
Japan,37.125,39.401,43.355,46.485,47.409,48.594,53.819,52.911,51.252,48.909,47.003,46.974,49.105,54.974,59.428,65.212,68.924,76.66,87.717,97.043,106.118,123.521,137.61,140.896,156.805,164.498,161.806,164.546,180.783,183.53,..
Korea,4.078,19.332,21.228,19.883,17.49,16.658,14.989,16.016,13.469,13.298,12.825,11.961,11.733,10.994,9.839,8.697,7.99,9.965,14.258,16.341,16.733,17.365,17.574,20.704,23.714,27.595,30.065,29.651,29.027,32.558,31.935
Luxembourg,..,..,..,..,..,..,..,..,..,..,1.82,1.282,1.525,1.924,1.907,2.612,3.414,3.725,4.054,3.508,3.17,3.092,2.678,1.686,1.428,0.821,1.458,1.419,8.153,8.489,12.578
Mexico,15.981,17.744,35.685,30.327,30.055,36.289,56.657,61.707,43.142,42.753,42.295,34.715,25.642,23.081,32.216,37.253,28.387,23.512,25.373,23.337,21.201,20.511,21.908,22.07,20.745,20.295,20.583,20.861,24.369,28.086,27.46
Netherlands,25.685,29.87,36.052,42.289,46.925,50.968,51.577,53.928,56.452,57.005,58.421,59.061,60.234,60.596,57.544,58.924,57.651,53.884,52.021,49.239,44.094,41.317,41.455,42.957,43.752,42.952,39.169,37.552,50.068,49.719,51.845
New Zealand,..,..,..,..,..,..,..,..,..,..,..,..,63.939,62.624,55.03,49.064,42.094,36.209,37.847,35.033,32.143,30.067,28.4,26.352,23.734,22.069,21.58,20.343,20.721,27.53,30.45
Norway,..,..,26.003,20.837,23.223,25.775,34.032,26.53,25.53,25.374,22.402,22.95,27.222,35.355,33.024,30.819,27.579,24.681,22.249,20.866,19.303,18.134,18.994,21.322,18.402,17.173,12.473,11.681,13.905,26.363,26.077
Poland,..,..,..,..,..,..,..,..,..,..,..,..,79.174,81.018,61.792,49.601,43.936,43.009,39.507,39.714,35.844,36.423,40.553,44.944,43.574,44.764,45.143,42.62,44.686,47.015,49.679
Portugal,29.244,36.754,39.428,43.941,48.909,51.644,50.218,56.468,55.828,54.666,51.741,52.689,50.516,56.34,58.37,60.064,59.591,56.241,52.993,53.2,52.103,54.012,56.71,58.299,60.97,66.194,67.732,66.622,68.88,78.73,87.962
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,23.744,21.158,18.954,18.251,20.811,22.534,22.712,23.875,36.009,35.031,35.069,38.405,33.103,29.164,28.108,26.342,33.749,39.078
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.871,27.063,26.9,25.782,23.207,21.188,33.628,36.023
Spain,14.301,18.129,22.016,27.269,33.829,38.224,38.825,39.41,35.466,35.244,36.542,36.337,38.124,48.941,50.268,52.353,56.056,55.275,53.558,52.267,49.872,46.274,43.942,40.68,39.268,36.36,32.965,30.019,33.695,46.026,51.693
Sweden,38.215,44.256,51.174,56.062,59.036,59.951,58.448,53.61,46.878,41.374,39.563,45.145,56.624,68.004,71.763,75.833,77.989,74.126,71.951,64.035,56.887,48.625,46.781,47.712,46.612,46.232,42.242,36.406,35.56,38.098,33.782
Switzerland,..,..,..,..,..,..,15.119,14.494,13.898,12.547,12.259,13.162,15.668,19.25,21.044,21.99,24.024,25.274,27.733,25.379,25.614,24.822,28.178,28.262,28.066,28.102,25.195,23.216,22.376,20.723,20.24
Turkey,..,..,..,..,..,14.83,15.246,17.22,16.356,13.703,10.83,11.529,13.214,13.414,15.371,13.043,33.446,32.907,30.995,39.797,38.184,74.06,69.239,62.185,56.621,51.087,45.498,39.551,40.011,46.35,42.851
United Kingdom,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.652,44.08,42.153,38.788,39.131,38.667,40.023,43.523,43.185,42.744,61.059,75.27,85.535
United States,25.725,25.036,28.424,31.828,32.719,35.416,38.806,39.761,39.967,39.144,41.468,45.746,47.955,49.301,48.847,49.033,47.872,45.361,42.504,38.975,33.896,32.408,33.204,34.865,36.044,36.149,36.039,35.703,40.183,53.573,61.274